CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,,TOTAL INJURED,TOTAL MUERTES
29/08/20,21:33:00,BRONX,10455,40.812965,-73.9161,POINT (-73.9161 40.812965),EAST 146 STREET,BROOK AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4343143,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,22:53:00,BROOKLYN,11249,40.70166,-73.961464,POINT (-73.961464 40.70166),WILLIAMSBURG STREET WEST,WYTHE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4343074,Sedan,,,,,,,
29/08/20,4:14:00,,,40.835373,-73.842186,POINT (-73.842186 40.835373),WATERBURY AVENUE,,,1,0,0,0,0,0,1,0,Unspecified,,,,,4342716,Station Wagon/Sport Utility Vehicle,Motorcycle,,,,,,
29/08/20,6:35:00,,,40.65965,-73.773834,POINT (-73.773834 40.65965),ROCKAWAY BOULEVARD,NASSAU EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4342746,Sedan,Station Wagon/Sport Utility Vehicle,,,,,,
29/08/20,13:00:00,BROOKLYN,11206,40.699707,-73.95718,POINT (-73.95718 40.699707),BEDFORD AVENUE,WALLABOUT STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4343077,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,,,
29/08/20,10:30:00,QUEENS,11385,40.7122,-73.86208,POINT (-73.86208 40.7122),METROPOLITAN AVENUE,COOPER AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,4342892,Station Wagon/Sport Utility Vehicle,Sedan,,,,,,
29/08/20,12:29:00,BRONX,10453,40.861862,-73.91282,POINT (-73.91282 40.861862),WEST FORDHAM ROAD,MAJOR DEEGAN EXPRESSWAY,,2,0,0,0,0,0,2,0,Pavement Slippery,View Obstructed/Limited,,,,4342833,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,,,,
29/08/20,10:35:00,BROOKLYN,11211,40.710957,-73.951126,POINT (-73.951126 40.710957),UNION AVENUE,GRAND STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Other Vehicular,,,,4343073,Sedan,Station Wagon/Sport Utility Vehicle,,,,,,
29/08/20,13:55:00,BROOKLYN,11231,40.67473,-74.00029,POINT (-74.00029 40.67473),HAMILTON AVENUE,GARNET STREET,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,4342786,Sedan,Sedan,,,,,,
29/08/20,0:30:00,,,40.66584,-73.75551,POINT (-73.75551 40.66584),BELT PARKWAY,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4342671,Sedan,Sedan,,,,,,
29/08/20,6:30:00,,,40.65052,-73.73309,POINT (-73.73309 40.65052),CRAFT AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4342766,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,19:00:00,,,40.83968,-73.929276,POINT (-73.929276 40.83968),MAJOR DEEGAN EXPRESSWAY,,,1,0,0,0,0,0,1,0,Following Too Closely,Following Too Closely,Unspecified,,,4342727,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,,
29/08/20,1:45:00,MANHATTAN,10029,40.79477,-73.93247,POINT (-73.93247 40.79477),,,545 EAST 116 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4343343,Sedan,,,,,,,
29/08/20,8:45:00,QUEENS,11411,40.701042,-73.74636,POINT (-73.74636 40.701042),,,114-52 208 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4343537,Sedan,,,,,,,
29/08/20,23:19:00,BROOKLYN,11226,40.63962,-73.95477,POINT (-73.95477 40.63962),NEWKIRK AVENUE,FLATBUSH AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4342807,Pick-up Truck,Motorbike,,,,,,
29/08/20,7:10:00,,,40.674347,-73.82071,POINT (-73.82071 40.674347),118 STREET,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Unspecified,,,4342796,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,,,
29/08/20,0:56:00,BRONX,10461,40.84307,-73.848076,POINT (-73.848076 40.84307),EAST TREMONT AVENUE,SILVER STREET,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4342715,Box Truck,Motorcycle,,,,,,
29/08/20,13:20:00,,,40.680954,-73.96768,POINT (-73.96768 40.680954),PACIFIC STREET,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4343433,Sedan,Sedan,,,,,,
29/08/20,17:45:00,,,40.72948,-73.9721,POINT (-73.9721 40.72948),FDR DRIVE,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4342728,Sedan,,,,,,,
29/08/20,22:11:00,BROOKLYN,11229,40.608727,-73.95402,POINT (-73.95402 40.608727),,,1925 QUENTIN ROAD,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4343158,Sedan,Bike,,,,,,
29/08/20,14:00:00,,,40.806293,-73.93603,POINT (-73.93603 40.806293),LEXINGTON AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4343336,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,16:30:00,MANHATTAN,10002,40.717056,-73.99027,POINT (-73.99027 40.717056),,,333 GRAND STREET,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4343011,Sedan,Station Wagon/Sport Utility Vehicle,,,,,,
29/08/20,11:25:00,BROOKLYN,11221,40.68861,-73.92319,POINT (-73.92319 40.68861),,,820 MONROE STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4343421,Sedan,,,,,,,
29/08/20,2:20:00,,,40.816204,-73.91423,POINT (-73.91423 40.816204),BROOK AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4343139,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,5:40:00,BRONX,10458,40.85819,-73.88435,POINT (-73.88435 40.85819),EAST FORDHAM ROAD,HUGHES AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Passing Too Closely,,,,4343352,Sedan,Sedan,,,,,,
29/08/20,18:36:00,BRONX,10459,40.82878,-73.88901,POINT (-73.88901 40.82878),HOME STREET,BRYANT AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4343219,Sedan,,,,,,,
29/08/20,19:50:00,BRONX,10457,40.851753,-73.889435,POINT (-73.889435 40.851753),,,611 EAST 182 STREET,1,0,0,0,0,0,1,0,Backing Unsafely,Unsafe Speed,,,,4343350,Taxi,Taxi,,,,,,
29/08/20,17:00:00,BROOKLYN,11214,40.612556,-74.00379,POINT (-74.00379 40.612556),,,1612 81 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4342749,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,21:45:00,BROOKLYN,11203,40.652462,-73.92285,POINT (-73.92285 40.652462),KINGS HIGHWAY,CHURCH AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4343396,Sedan,Motorbike,,,,,,
29/08/20,14:30:00,BRONX,10453,40.855785,-73.90558,POINT (-73.90558 40.855785),JEROME AVENUE,WEST 181 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4343377,Sedan,Sedan,,,,,,
29/08/20,20:51:00,QUEENS,11411,40.694534,-73.74045,POINT (-73.74045 40.694534),,,117-39 220 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4342767,Sedan,,,,,,,
29/08/20,17:17:00,,,40.68719,-73.974625,POINT (-73.974625 40.68719),LAFAYETTE AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4343042,Station Wagon/Sport Utility Vehicle,Sedan,,,,,,
29/08/20,20:53:00,BRONX,10456,40.831482,-73.89976,POINT (-73.89976 40.831482),,,1315 BOSTON ROAD,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4343192,Sedan,Station Wagon/Sport Utility Vehicle,,,,,,
29/08/20,19:34:00,MANHATTAN,10032,40.838158,-73.94298,POINT (-73.94298 40.838158),,,619 WEST 163 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4343050,Bike,Motorcycle,,,,,,
29/08/20,0:00:00,BRONX,10466,40.895134,-73.85216,POINT (-73.85216 40.895134),DIGNEY AVENUE,PITMAN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4343251,Sedan,,,,,,,
29/08/20,15:50:00,BROOKLYN,11226,40.637276,-73.958595,POINT (-73.958595 40.637276),,,1030 OCEAN AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4342811,Sedan,Sedan,,,,,,
29/08/20,0:00:00,,,40.730446,-73.98035,POINT (-73.98035 40.730446),EAST 14 STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4342672,Sedan,Station Wagon/Sport Utility Vehicle,,,,,,
29/08/20,14:17:00,,,,,,GRAND CENTRAL PARKWAY,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4343390,Sedan,,,,,,,
29/08/20,19:39:00,,,40.582977,-73.98042,POINT (-73.98042 40.582977),BELT PARKWAY,,,4,0,0,0,0,0,4,0,Failure to Keep Right,Unspecified,,,,4342752,Station Wagon/Sport Utility Vehicle,Sedan,,,,,,
29/08/20,17:00:00,QUEENS,11356,40.781647,-73.833664,POINT (-73.833664 40.781647),,,135-06 20 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4342772,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,9:09:00,BROOKLYN,11236,40.64323,-73.90525,POINT (-73.90525 40.64323),,,9312 GLENWOOD ROAD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4342893,Station Wagon/Sport Utility Vehicle,Sedan,,,,,,
29/08/20,18:20:00,,,40.77008,-73.94784,POINT (-73.94784 40.77008),FDR DRIVE,,,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,,,,4342730,Sedan,Sedan,,,,,,
29/08/20,11:10:00,QUEENS,11105,40.772854,-73.90607,POINT (-73.90607 40.772854),STEINWAY STREET,DITMARS BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4342791,Sedan,Sedan,,,,,,
29/08/20,12:30:00,BRONX,10461,40.848183,-73.84981,POINT (-73.84981 40.848183),,,1660 WILLIAMSBRIDGE ROAD,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4343262,Sedan,,,,,,,
29/08/20,23:44:00,,,40.7025,-73.91633,POINT (-73.91633 40.7025),HARMAN STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4343510,Sedan,Bike,,,,,,
29/08/20,15:41:00,BROOKLYN,11234,40.61756,-73.91493,POINT (-73.91493 40.61756),AVENUE T,EAST 63 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4343227,Station Wagon/Sport Utility Vehicle,Sedan,,,,,,
29/08/20,7:30:00,,,,,,NEW ENGLAND THRUWAY,,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4342696,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,0:57:00,,,40.858707,-73.9037,POINT (-73.9037 40.858707),JEROME AVENUE,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4343376,Sedan,Motorcycle,,,,,,
29/08/20,21:00:00,,,40.731304,-73.925964,POINT (-73.925964 40.731304),BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4343380,Sedan,Sedan,,,,,,
29/08/20,2:20:00,,,40.63683,-74.139114,POINT (-74.139114 40.63683),,,140 HARRISON AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4343297,Sedan,Sedan,Sedan,,,,,
29/08/20,11:52:00,MANHATTAN,10032,40.838375,-73.94613,POINT (-73.94613 40.838375),,,910 RIVERSIDE DRIVE,0,0,0,0,0,0,0,0,Unspecified,,,,,4343043,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,17:44:00,,,,,,MANHATTAN BR UPPER,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4343566,Station Wagon/Sport Utility Vehicle,Sedan,,,,,,
29/08/20,8:54:00,BRONX,10454,40.81373,-73.9221,POINT (-73.9221 40.81373),3 AVENUE,EAST 144 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4343119,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,15:00:00,BRONX,10469,40.861034,-73.83617,POINT (-73.83617 40.861034),,,2400 GUNTHER AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4343289,Sedan,Sedan,,,,,,
29/08/20,18:00:00,BROOKLYN,11236,40.651157,-73.918144,POINT (-73.918144 40.651157),REMSEN AVENUE,AVENUE A,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4343098,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,,,
29/08/20,23:15:00,STATEN ISLAND,10306,40.55573,-74.123375,POINT (-74.123375 40.55573),CHESTERTON AVENUE,GRAYSON STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4342765,Sedan,,,,,,,
29/08/20,0:02:00,QUEENS,11374,40.727623,-73.87089,POINT (-73.87089 40.727623),,,61-60 WOODHAVEN BOULEVARD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4342916,Box Truck,,,,,,,
29/08/20,7:00:00,,,40.764122,-73.812775,POINT (-73.812775 40.764122),ROOSEVELT AVENUE,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4342723,Sedan,,,,,,,
29/08/20,14:00:00,BROOKLYN,11212,40.668324,-73.902336,POINT (-73.902336 40.668324),,,455 SUTTER AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4342799,Sedan,,,,,,,
29/08/20,2:54:00,BROOKLYN,11214,40.599705,-73.99016,POINT (-73.99016 40.599705),86 STREET,BAY 35 STREET,,1,0,1,0,0,0,0,0,Driver Inexperience,,,,,4342904,Sedan,,,,,,,
29/08/20,21:15:00,,,40.786003,-73.80219,POINT (-73.80219 40.786003),CROSS ISLAND PARKWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4342756,Sedan,Sedan,,,,,,
29/08/20,19:00:00,BRONX,10461,40.838074,-73.83333,POINT (-73.83333 40.838074),,,2831 LASALLE AVENUE,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,Unspecified,Unspecified,,4343552,Convertible,Sedan,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,,
29/08/20,1:39:00,,,40.821636,-73.93909,POINT (-73.93909 40.821636),WEST 145 STREET,,,1,0,1,0,0,0,0,0,Other Vehicular,,,,,4343561,Taxi,,,,,,,
29/08/20,16:10:00,,,40.710476,-73.963844,POINT (-73.963844 40.710476),BEDFORD AVENUE,,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4343076,Station Wagon/Sport Utility Vehicle,Bike,,,,,,
29/08/20,7:47:00,,,,,,BELT PARKWAY,,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4342735,Sedan,Sedan,,,,,,
29/08/20,18:00:00,,,40.625916,-74.13452,POINT (-74.13452 40.625916),,,1351 FOREST AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4343564,Station Wagon/Sport Utility Vehicle,Sedan,,,,,,
29/08/20,4:10:00,,,40.650944,-73.905975,POINT (-73.905975 40.650944),ROCKAWAY AVENUE,AVENUE D,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,4342762,PK,Sedan,Sedan,,,,,
29/08/20,0:30:00,BROOKLYN,11218,40.65188,-73.97247,POINT (-73.97247 40.65188),,,210 PROSPECT PARK SOUTHWEST,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4342698,Sedan,Sedan,,,,,,
29/08/20,20:35:00,MANHATTAN,10025,40.801563,-73.96237,POINT (-73.96237 40.801563),,,125 WEST 109 STREET,1,0,1,0,0,0,0,0,Unspecified,,,,,4343181,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,12:45:00,BROOKLYN,11210,40.633717,-73.95073,POINT (-73.95073 40.633717),,,2704 GLENWOOD ROAD,0,0,0,0,0,0,0,0,Unspecified,,,,,4342812,Sedan,,,,,,,
29/08/20,20:59:00,,,,,,VANWYCK EXPRESSWAY,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4343453,Sedan,,,,,,,
29/08/20,15:47:00,,,40.693436,-73.97784,POINT (-73.97784 40.693436),SAINT EDWARDS STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4343063,Flat Bed,Sedan,,,,,,
29/08/20,1:59:00,BRONX,10469,40.86091,-73.84428,POINT (-73.84428 40.86091),,,1452 WARING AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4342689,Sedan,,,,,,,
29/08/20,18:30:00,MANHATTAN,10037,40.81342,-73.93715,POINT (-73.93715 40.81342),5 AVENUE,WEST 136 STREET,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Other Vehicular,,,,4343622,Sedan,Sedan,,,,,,
29/08/20,0:00:00,BROOKLYN,11203,40.649475,-73.92395,POINT (-73.92395 40.649475),,,5649 KINGS HIGHWAY,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4342960,Sedan,,,,,,,
29/08/20,9:50:00,,,40.69982,-73.996254,POINT (-73.996254 40.69982),BROOKLYN QUEENS EXPRESSWAY,,,1,0,0,0,0,0,1,0,Fell Asleep,,,,,4342834,Sedan,,,,,,,
29/08/20,2:34:00,BROOKLYN,11207,40.688393,-73.91025,POINT (-73.91025 40.688393),,,126 COVERT STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,,4343532,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
29/08/20,11:34:00,MANHATTAN,10016,40.749725,-73.98363,POINT (-73.98363 40.749725),EAST 36 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4343006,Sedan,Sedan,,,,,,
29/08/20,12:18:00,BROOKLYN,11237,40.693657,-73.907425,POINT (-73.907425 40.693657),,,1292 HALSEY STREET,2,0,0,0,0,0,2,0,Driver Inexperience,Unspecified,Unspecified,,,4343516,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,,,,
29/08/20,21:50:00,,,,,,HARLEM RIVER DRIVE RAMP,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4343053,Sedan,Station Wagon/Sport Utility Vehicle,,,,,,
29/08/20,13:15:00,,,40.81344,-73.94135,POINT (-73.94135 40.81344),WEST 134 STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4343180,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,,,
29/08/20,23:50:00,MANHATTAN,10037,40.812897,-73.93548,POINT (-73.93548 40.812897),,,2190 MADISON AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4343339,Sedan,Station Wagon/Sport Utility Vehicle,,,,,,
29/08/20,14:50:00,BRONX,10451,40.818012,-73.92519,POINT (-73.92519 40.818012),EAST 149 STREET,PARK AVENUE,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4343141,Taxi,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,,
29/08/20,5:40:00,,,,,,PROSPECT EXPRESSWAY RAMP,,,1,0,0,0,0,0,1,0,Unspecified,,,,,4342699,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,0:50:00,BRONX,10460,40.843548,-73.87031,POINT (-73.87031 40.843548),MORRIS PARK AVENUE,TAYLOR AVENUE,,1,0,0,0,1,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,4342686,E-Bike,,,,,,,
29/08/20,21:50:00,BROOKLYN,11213,40.668648,-73.92835,POINT (-73.92835 40.668648),EASTERN PARKWAY,ROCHESTER AVENUE,,2,0,0,0,0,0,2,0,Passing Too Closely,Unspecified,,,,4342970,Sedan,Sedan,,,,,,
29/08/20,5:28:00,QUEENS,11375,40.72657,-73.85265,POINT (-73.85265 40.72657),67 ROAD,QUEENS BOULEVARD,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4342706,Taxi,Taxi,,,,,,
29/08/20,7:30:00,BROOKLYN,11234,40.618317,-73.923904,POINT (-73.923904 40.618317),,,1640 EAST 53 STREET,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,Unspecified,Unspecified,,4343243,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,,,
29/08/20,10:00:00,QUEENS,11385,40.70969,-73.921585,POINT (-73.921585 40.70969),,,1710 FLUSHING AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4342887,Pick-up Truck,,,,,,,
29/08/20,13:15:00,,,40.693436,-73.97784,POINT (-73.97784 40.693436),SAINT EDWARDS STREET,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4342971,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,14:15:00,QUEENS,11373,40.735123,-73.87524,POINT (-73.87524 40.735123),,,88-01 QUEENS BOULEVARD,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4343000,Sedan,,,,,,,
29/08/20,19:45:00,,,40.839478,-73.883896,POINT (-73.883896 40.839478),BOSTON ROAD,VYSE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4343218,,,,,,,,
29/08/20,9:45:00,QUEENS,11366,40.7307,-73.790855,POINT (-73.790855 40.7307),73 AVENUE,179 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4342702,Sedan,Sedan,,,,,,
29/08/20,10:52:00,BRONX,10469,40.869762,-73.83677,POINT (-73.83677 40.869762),,,2913 BRUNER AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4342917,Station Wagon/Sport Utility Vehicle,,,,,,,
29/08/20,15:45:00,,,40.63562,-74.135056,POINT (-74.135056 40.63562),,,252 PORT RICHMOND AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4343563,Sedan,Station Wagon/Sport Utility Vehicle,,,,,,
